# Gregorian month start,lunar year,lunar month,leap month
# Source: https://raw.githubusercontent.com/manakai/data-locale/241fa20712a179b2287d801bb30b51af227461e6/data/calendar/kyuureki-map.txt
# Source SHA-256: cfd10efe073a8a8a7ba0de7c53402a7c67a0c8a91c5c95fd14e98d1fc5eb1dfb
1906-12-16,1906,11,false
1907-01-14,1906,12,false
1907-02-13,1907,1,false
1907-03-14,1907,2,false
1907-04-13,1907,3,false
1907-05-12,1907,4,false
1907-06-11,1907,5,false
1907-07-11,1907,6,false
1907-08-09,1907,7,false
1907-09-08,1907,8,false
1907-10-07,1907,9,false
1907-11-06,1907,10,false
1907-12-05,1907,11,false
1908-01-04,1907,12,false
1908-02-02,1908,1,false
1908-03-03,1908,2,false
1908-04-01,1908,3,false
1908-05-01,1908,4,false
1908-05-30,1908,5,false
1908-06-29,1908,6,false
1908-07-28,1908,7,false
1908-08-27,1908,8,false
1908-09-25,1908,9,false
1908-10-25,1908,10,false
1908-11-24,1908,11,false
1908-12-23,1908,12,false
1909-01-22,1909,1,false
1909-02-20,1909,2,false
1909-03-22,1909,2,true
1909-04-20,1909,3,false
1909-05-19,1909,4,false
1909-06-18,1909,5,false
1909-07-17,1909,6,false
1909-08-16,1909,7,false
1909-09-15,1909,8,false
1909-10-14,1909,9,false
1909-11-13,1909,10,false
1909-12-13,1909,11,false
1910-01-11,1909,12,false
1910-02-10,1910,1,false
1910-03-11,1910,2,false
1910-04-10,1910,3,false
1910-05-09,1910,4,false
1910-06-07,1910,5,false
1910-07-07,1910,6,false
1910-08-05,1910,7,false
1910-09-04,1910,8,false
1910-10-03,1910,9,false
1910-11-02,1910,10,false
1910-12-02,1910,11,false
1911-01-01,1910,12,false
1911-01-30,1911,1,false
1911-03-01,1911,2,false
1911-03-30,1911,3,false
1911-04-29,1911,4,false
1911-05-28,1911,5,false
1911-06-26,1911,6,false
1911-07-26,1911,6,true
1911-08-24,1911,7,false
1911-09-22,1911,8,false
1911-10-22,1911,9,false
1911-11-21,1911,10,false
1911-12-21,1911,11,false
1912-01-19,1911,12,false
1912-02-18,1912,1,false
1912-03-19,1912,2,false
1912-04-17,1912,3,false
1912-05-17,1912,4,false
1912-06-15,1912,5,false
1912-07-14,1912,6,false
1912-08-13,1912,7,false
1912-09-11,1912,8,false
1912-10-10,1912,9,false
1912-11-09,1912,10,false
1912-12-09,1912,11,false
1913-01-07,1912,12,false
1913-02-06,1913,1,false
1913-03-08,1913,2,false
1913-04-07,1913,3,false
1913-05-06,1913,4,false
1913-06-05,1913,5,false
1913-07-04,1913,6,false
1913-08-02,1913,7,false
1913-09-01,1913,8,false
1913-09-30,1913,9,false
1913-10-29,1913,10,false
1913-11-28,1913,11,false
1913-12-27,1913,12,false
1914-01-26,1914,1,false
1914-02-25,1914,2,false
1914-03-27,1914,3,false
1914-04-25,1914,4,false
1914-05-25,1914,5,false
1914-06-24,1914,5,true
1914-07-23,1914,6,false
1914-08-21,1914,7,false
1914-09-20,1914,8,false
1914-10-19,1914,9,false
1914-11-18,1914,10,false
1914-12-17,1914,11,false
1915-01-15,1914,12,false
1915-02-14,1915,1,false
1915-03-16,1915,2,false
1915-04-14,1915,3,false
1915-05-14,1915,4,false
1915-06-13,1915,5,false
1915-07-12,1915,6,false
1915-08-11,1915,7,false
1915-09-09,1915,8,false
1915-10-09,1915,9,false
1915-11-07,1915,10,false
1915-12-07,1915,11,false
1916-01-05,1915,12,false
1916-02-04,1916,1,false
1916-03-04,1916,2,false
1916-04-03,1916,3,false
1916-05-02,1916,4,false
1916-06-01,1916,5,false
1916-06-30,1916,6,false
1916-07-30,1916,7,false
1916-08-29,1916,8,false
1916-09-27,1916,9,false
1916-10-27,1916,10,false
1916-11-25,1916,11,false
1916-12-25,1916,12,false
1917-01-23,1917,1,false
1917-02-22,1917,2,false
1917-03-23,1917,2,true
1917-04-21,1917,3,false
1917-05-21,1917,4,false
1917-06-19,1917,5,false
1917-07-19,1917,6,false
1917-08-18,1917,7,false
1917-09-16,1917,8,false
1917-10-16,1917,9,false
1917-11-15,1917,10,false
1917-12-14,1917,11,false
1918-01-13,1917,12,false
1918-02-11,1918,1,false
1918-03-13,1918,2,false
1918-04-11,1918,3,false
1918-05-10,1918,4,false
1918-06-09,1918,5,false
1918-07-08,1918,6,false
1918-08-07,1918,7,false
1918-09-05,1918,8,false
1918-10-05,1918,9,false
1918-11-04,1918,10,false
1918-12-04,1918,11,false
1919-01-02,1918,12,false
1919-02-01,1919,1,false
1919-03-02,1919,2,false
1919-04-01,1919,3,false
1919-04-30,1919,4,false
1919-05-29,1919,5,false
1919-06-28,1919,6,false
1919-07-27,1919,7,false
1919-08-26,1919,7,true
1919-09-24,1919,8,false
1919-10-24,1919,9,false
1919-11-23,1919,10,false
1919-12-22,1919,11,false
1920-01-21,1919,12,false
1920-02-20,1920,1,false
1920-03-20,1920,2,false
1920-04-19,1920,3,false
1920-05-18,1920,4,false
1920-06-16,1920,5,false
1920-07-16,1920,6,false
1920-08-14,1920,7,false
1920-09-12,1920,8,false
1920-10-12,1920,9,false
1920-11-11,1920,10,false
1920-12-10,1920,11,false
1921-01-09,1920,12,false
1921-02-08,1921,1,false
1921-03-10,1921,2,false
1921-04-08,1921,3,false
1921-05-08,1921,4,false
1921-06-06,1921,5,false
1921-07-05,1921,6,false
1921-08-04,1921,7,false
1921-09-02,1921,8,false
1921-10-01,1921,9,false
1921-10-31,1921,10,false
1921-11-29,1921,11,false
1921-12-29,1921,12,false
1922-01-28,1922,1,false
1922-02-27,1922,2,false
1922-03-28,1922,3,false
1922-04-27,1922,4,false
1922-05-27,1922,5,false
1922-06-25,1922,5,true
1922-07-24,1922,6,false
1922-08-23,1922,7,false
1922-09-21,1922,8,false
1922-10-20,1922,9,false
1922-11-19,1922,10,false
1922-12-18,1922,11,false
1923-01-17,1922,12,false
1923-02-16,1923,1,false
1923-03-17,1923,2,false
1923-04-16,1923,3,false
1923-05-16,1923,4,false
1923-06-14,1923,5,false
1923-07-14,1923,6,false
1923-08-12,1923,7,false
1923-09-11,1923,8,false
1923-10-10,1923,9,false
1923-11-09,1923,10,false
1923-12-08,1923,11,false
1924-01-06,1923,12,false
1924-02-05,1924,1,false
1924-03-06,1924,2,false
1924-04-04,1924,3,false
1924-05-04,1924,4,false
1924-06-02,1924,5,false
1924-07-02,1924,6,false
1924-08-01,1924,7,false
